ko,kju,-0.134146508,,,,
ko,gjo,-0.134146508,,,,
to,tju,-0.134146508,,,,
tju,pu,-0.134146508,,,,
pu,bju,-0.134146508,,,,
bo,bju,-0.134146508,,,,
kju,gjo,-0.134288611,,,,
gja,gjo,-0.134288611,,,,
tju,bju,-0.134288611,,,,
a,rja,-0.135312064,,,,
o,rjo,-0.135312064,,,,
u,bo,-0.135808251,,,,
a,e,-0.136427251,,,,
e,o,-0.136427251,,,,
u,bju,-0.136839399,,,,
ku,go,-0.137272802,,,,
ga,go,-0.137272802,,,,
si,ze,-0.137272802,,,,
ze,re,-0.137272802,,,,
tu,do,-0.137272802,,,,
tu,bu,-0.137272802,,,,
da,do,-0.137272802,,,,
do,bu,-0.137272802,,,,
ne,mi,-0.137272802,,,,
ne,re,-0.137272802,,,,
e,ne,-0.137969337,,,,
ku,kjo,-0.138832922,,,,
kja,ga,-0.138832922,,,,
kjo,go,-0.138832922,,,,
tu,tjo,-0.138832922,,,,
tu,pju,-0.138832922,,,,
tja,da,-0.138832922,,,,
tjo,do,-0.138832922,,,,
da,bja,-0.138832922,,,,
do,bjo,-0.138832922,,,,
pju,bu,-0.138832922,,,,
bu,bjo,-0.138832922,,,,
i,mi,-0.139063866,,,,
ka,ke,-0.140504926,,,,
ke,ko,-0.140504926,,,,
ke,gi,-0.140504926,,,,
se,te,-0.140504926,,,,
ta,te,-0.140504926,,,,
te,to,-0.140504926,,,,
pi,pu,-0.140504926,,,,
ba,be,-0.140504926,,,,
be,bo,-0.140504926,,,,
be,me,-0.140504926,,,,
u,su,-0.141032854,,,,
o,bu,-0.142000141,,,,
u,gu,-0.142387313,,,,
a,o,-0.14255812,,,,
tja,pa,-0.14348218,,,,
tjo,po,-0.14348218,,,,
pa,bja,-0.14348218,,,,
po,pju,-0.14348218,,,,
po,bjo,-0.14348218,,,,
kja,kjo,-0.143657583,,,,
tja,tjo,-0.143657583,,,,
tja,bja,-0.143657583,,,,
tjo,pju,-0.143657583,,,,
tjo,bjo,-0.143657583,,,,
pju,bjo,-0.143657583,,,,
bja,bjo,-0.143657583,,,,
a,bja,-0.146346834,,,,
o,bjo,-0.146346834,,,,
u,po,-0.146488904,,,,
ka,ko,-0.147078002,,,,
ta,to,-0.147078002,,,,
ta,ba,-0.147078002,,,,
to,pu,-0.147078002,,,,
to,bo,-0.147078002,,,,
pu,bo,-0.147078002,,,,
ba,bo,-0.147078002,,,,
hi,hu,-0.147099104,,,,
u,do,-0.14739834,,,,
e,me,-0.148861605,,,,
a,sa,-0.149822456,,,,
o,so,-0.149822456,,e,djo,-0.278507844
u,ro,-0.150109911,,,,
ho,hju,-0.150461672,,,,
ti,pe,-0.150628687,,,,
de,pe,-0.150628687,,,,
pa,pe,-0.150628687,,,,
pe,po,-0.150628687,,,,
pe,bi,-0.150628687,,,,
a,ga,-0.151992319,,,,
o,go,-0.151992319,,,,
i,be,-0.15586652,,,,
hu,hjo,-0.156412124,,,,
o,zu,-0.157040236,,,,
u,pju,-0.157043931,,,,
ha,he,-0.15820818,,,,
he,ho,-0.15820818,,,,
ki,ge,-0.158391695,,,,
ti,de,-0.158391695,,,,
ti,bi,-0.158391695,,,,
de,bi,-0.158391695,,,,
pa,po,-0.158391695,,,,
zju,tju,-0.159544239,,,,
zju,bju,-0.159544239,,,,
tju,nju,-0.159544239,,,,
tju,rju,-0.159544239,,,,
nju,bju,-0.159544239,,,,
bju,rju,-0.159544239,,,,
i,si,-0.159778144,,,,
si,zu,-0.162283275,,,,
